year,month,ym_str,town,project,plh,loccate,waitime,nrooms,nunits,naplcnts,avgrate,rate_senior,rate_1st,rate_single,rate_2nd,sellprice_low,sellprice_high,est_resaleprice_low,est_resaleprice_high
2021,2,2021-02,Bukit Batok,West Hill @ Bukit Batok,No,Non-mature,63,5,331,666,2.0 ,,1.5 ,,5.0 ,384000,460000 ,515000,570000
2021,2,2021-02,Tengah,Parc Woods @ Tengah,No,Non-mature,48,2,297,624,2.1 ,1.5 ,0.4 ,4.7 ,0.2 ,110000,167000 ,,
2021,2,2021-02,Tengah,Parc Woods @ Tengah,No,Non-mature,48,3,83,198,2.4 ,,1.2 ,,5.3 ,209000,239000 ,,
2021,2,2021-02,Tengah,Parc Woods @ Tengah,No,Non-mature,48,4,387,1294,3.3 ,,3.0 ,,5.4 ,298000,359000 ,368000,450000
2021,2,2021-02,Toa Payoh,Bartley GreenRise / ParkEdge @ Bidadari / Alkaff Breeze,No,Mature,46,3,96,462,4.8 ,,2.0 ,,66.0 ,312000,362000 ,352000,408000
2021,2,2021-02,Toa Payoh,Bartley GreenRise / ParkEdge @ Bidadari / Alkaff Breeze,No,Mature,46,4,797,4667,5.9 ,,5.1 ,,21.4 ,464000,580000 ,538888,588000
2021,2,2021-02,Toa Payoh,Bartley GreenRise / ParkEdge @ Bidadari / Alkaff Breeze,No,Mature,46,5,323,3193,9.9 ,,6.0 ,,84.1 ,611000,728000 ,695000,765000
2021,2,2021-02,Kallang / Whampoa,McNair Heights,No,Mature,63,2,136,569,4.2 ,4.2 ,,,,117000,182000 ,,
2021,2,2021-02,Kallang / Whampoa,McNair Heights,No,Mature,63,3,104,413,4.0 ,,1.8 ,,46.0 ,359000,453000 ,,
2021,2,2021-02,Kallang / Whampoa,McNair Heights,No,Mature,63,4,386,2869,7.4 ,,5.4 ,,46.7 ,532000,672000 ,710000,733888
2021,5,2021-05,Tengah,Garden Bloom @ Tengah,No,Non-mature,46,2,266,462,1.7 ,1.0 ,0.2 ,4.2 ,0.3 ,113000,167000 ,,
2021,5,2021-05,Tengah,Garden Bloom @ Tengah,No,Non-mature,46,4,265,1023,3.9 ,,3.2 ,,7.9 ,299000,359000 ,365000,460000
2021,5,2021-05,Tengah,Garden Bloom @ Tengah,No,Non-mature,46,5,251,1168,4.7 ,,3.5 ,,11.2 ,404000,495000 ,505000,608000
2021,5,2021-05,Woodlands,Woodgrove Ascent,No,Non-mature,46,2,686,944,1.4 ,0.9 ,0.2 ,3.0 ,0.2 ,98000,148000 ,,
2021,5,2021-05,Woodlands,Woodgrove Ascent,No,Non-mature,46,3,84,451,5.4 ,,3.6 ,,9.6 ,185000,219000 ,330000,345000
2021,5,2021-05,Woodlands,Woodgrove Ascent,No,Non-mature,46,4,411,1794,4.4 ,,3.8 ,,7.7 ,275000,373000 ,445000,470000
2021,5,2021-05,Woodlands,Woodgrove Ascent,No,Non-mature,46,5,359,1990,5.5 ,,4.1 ,,13.7 ,372000,491000 ,476888,550000
2021,5,2021-05,Bukit Merah,Telok Blangah Beacon,No,Mature,64,3,105,604,5.8 ,,3.0 ,,60.4 ,419000,504000 ,558000,650000
2021,5,2021-05,Bukit Merah,Telok Blangah Beacon,No,Mature,64,4,70,3474,49.6 ,,30.6 ,,475.0 ,602000,710000 ,762000,860000
2021,5,2021-05,Geylang,MacPherson Weave,No,Mature,52,2,216,453,2.1 ,4.2 ,0.1 ,4.4 ,,180000,269000 ,,
2021,5,2021-05,Geylang,MacPherson Weave,No,Mature,52,3,156,569,3.6 ,,1.6 ,,47.4 ,343000,405000 ,425000,565000
2021,5,2021-05,Geylang,MacPherson Weave,No,Mature,52,4,1010,5595,5.5 ,,4.2 ,,31.3 ,489000,626000 ,635000,800000
2021,8,2021-08,Hougang,Hougang Citrine / Kovan Wellspring,No,Non-mature,46,2,596,4882,8.2 ,7.1 ,0.8 ,1.0 ,17.0 ,108000,234000 ,,
2021,8,2021-08,Hougang,Hougang Citrine / Kovan Wellspring,No,Non-mature,46,3,178,1986,11.2 ,,5.3 ,,24.9 ,199000,340000 ,340000,370000
2021,8,2021-08,Hougang,Hougang Citrine / Kovan Wellspring,No,Non-mature,46,4,459,11420,24.9 ,,18.5 ,,61.4 ,324000,507000 ,460000,590000
2021,8,2021-08,Hougang,Hougang Citrine / Kovan Wellspring,No,Non-mature,37,5,102,1085,10.6 ,,7.2 ,,30.5 ,392000,482000 ,525000,560000
2021,8,2021-08,Jurong East,Toh Guan Grove,No,Non-mature,49,2,244,1214,5.0 ,4.3 ,0.5 ,0.9 ,10.1 ,121000,189000 ,,
2021,8,2021-08,Jurong East,Toh Guan Grove,No,Non-mature,49,3,85,520,6.1 ,,3.8 ,,11.6 ,237000,281000 ,,
2021,8,2021-08,Jurong East,Toh Guan Grove,No,Non-mature,49,4,240,3628,15.1 ,,12.8 ,,30.1 ,347000,436000 ,475000,530000
2021,8,2021-08,Kallang / Whampoa,Towner Residences,No,Mature,58,3,90,265,2.9 ,,1.4 ,,35.5 ,336000,440000 ,,
2021,8,2021-08,Kallang / Whampoa,Towner Residences,No,Mature,58,4,226,1928,8.5 ,,6.2 ,,53.7 ,500000,656000 ,550000,733000
2021,8,2021-08,Queenstown,Queen's Arc,No,Mature,67,3,76,354,4.7 ,,2.3 ,,61.0 ,382000,464000 ,580000,608000
2021,8,2021-08,Queenstown,Queen's Arc,No,Mature,67,4,534,4099,7.7 ,,5.2 ,,56.7 ,540000,670000 ,790000,875000
2021,8,2021-08,Tampines,Tampines GreenQuartz / Tampines GreenJade,No,Mature,52,2,202,694,3.4 ,6.2 ,0.2 ,9.6 ,,142000,196000 ,,
2021,8,2021-08,Tampines,Tampines GreenQuartz / Tampines GreenJade,No,Mature,52,3,87,627,7.2 ,,2.7 ,,100.3 ,244000,291000 ,,
2021,8,2021-08,Tampines,Tampines GreenQuartz / Tampines GreenJade,No,Mature,48,4,989,3443,3.5 ,,2.7 ,,19.3 ,342000,445000 ,505000,574000
2021,8,2021-08,Tampines,Tampines GreenQuartz / Tampines GreenJade,No,Mature,48,5,881,4255,4.8 ,,3.0 ,,40.1 ,475000,597000 ,540000,650000
2021,11,2021-11,Choa Chu Kang,Heart of Yew Tee,No,Non-mature,52,2,68,727,10.7 ,10.7 ,,,,72000,98000 ,,
2021,11,2021-11,Hougang,Tanjong Tree Residences @ Hougang / Hougang Olive,No,Non-mature,40,4,378,1643,4.3 ,,3.5 ,,13.2 ,308000,389000 ,460000,560000
2021,11,2021-11,Hougang,Tanjong Tree Residences @ Hougang / Hougang Olive,No,Non-mature,40,5,312,1852,5.9 ,,4.3 ,,25.5 ,416000,495000 ,525000,560000
